2017/05/24 20:14:47 [error] 969#969: *240 open() "/home/ricardo/PortalJunta/myapp/static/admin/js/urlify.js" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/js/urlify.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/myapp/noticia/"
2017/05/24 20:14:47 [error] 969#969: *240 open() "/home/ricardo/PortalJunta/myapp/static/admin/js/prepopulate.js" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/js/prepopulate.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/myapp/noticia/"
2017/05/24 20:14:47 [error] 969#969: *240 open() "/home/ricardo/PortalJunta/myapp/static/admin/js/vendor/xregexp/xregexp.js" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/myapp/noticia/"
2017/05/24 20:14:51 [error] 969#969: *240 open() "/home/ricardo/PortalJunta/myapp/static/admin/css/base.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/css/base.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/myapp/noticia/3/change/"
2017/05/24 20:14:51 [error] 969#969: *245 open() "/home/ricardo/PortalJunta/myapp/static/admin/css/forms.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/css/forms.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/myapp/noticia/3/change/"
2017/05/24 20:14:52 [error] 969#969: *244 open() "/home/ricardo/PortalJunta/myapp/static/admin/js/core.js" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/js/core.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/myapp/noticia/3/change/"
2017/05/24 20:14:52 [error] 969#969: *245 open() "/home/ricardo/PortalJunta/myapp/static/admin/js/vendor/jquery/jquery.js" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/js/vendor/jquery/jquery.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/myapp/noticia/3/change/"
2017/05/24 20:14:52 [error] 969#969: *244 open() "/home/ricardo/PortalJunta/myapp/static/admin/js/jquery.init.js" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/js/jquery.init.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/myapp/noticia/3/change/"
2017/05/24 20:14:52 [error] 969#969: *245 open() "/home/ricardo/PortalJunta/myapp/static/admin/js/admin/RelatedObjectLookups.js" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/myapp/noticia/3/change/"
2017/05/24 20:14:52 [error] 969#969: *244 open() "/home/ricardo/PortalJunta/myapp/static/admin/js/actions.js" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/js/actions.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/myapp/noticia/3/change/"
2017/05/24 20:14:52 [error] 969#969: *245 open() "/home/ricardo/PortalJunta/myapp/static/admin/js/urlify.js" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/js/urlify.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/myapp/noticia/3/change/"
2017/05/24 20:14:52 [error] 969#969: *244 open() "/home/ricardo/PortalJunta/myapp/static/admin/js/prepopulate.js" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/js/prepopulate.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/myapp/noticia/3/change/"
